,Zomato URL,Name of Restaurant,Address,Cuisine,Price for 2,Dining Rating,Dining Rating Count
94,https://www.zomato.com/chennai/urban-spatula-anna-nagar-west,URBAN SPATULA," Plot 1633, 54, H-Block, Ground Floor, 13th Main Road, Anna Nagar West, Chennai","['Continental', ' Seafood', ' Biryani', ' Italian', ' North Indian', ' Asian', ' Kebab']",800.0,4.4,794
95,https://www.zomato.com/chennai/madurai-kumar-mess-vadapalani,MADURAI KUMAR MESS," 165 & 167, 100 Feet Road, Vadapalani, Chennai","['Chettinad', ' South Indian', ' Chinese']",600.0,4.2,816
96,https://www.zomato.com/chennai/oxygen-potheri,OXYGEN," 45, Samundeshwari Nagar, Tailavaram, Potheri, Chennai","['North Indian', ' Chinese', ' Biryani', ' Rolls']",500.0,4.0,780
97,https://www.zomato.com/chennai/shree-konar-vilas-purasavakkam,SHREE KONAR VILAS," 128, Perambur Barracks Road, Purasavakkam, Chennai","['South Indian', ' Chettinad']",500.0,4.1,222
98,https://www.zomato.com/chennai/subway-anna-nagar-west,SUBWAY," AC 112, Ground Floor, 4th Avenue, Shanthi Colony, Anna Nagar West, Chennai","['Healthy Food', ' Fast Food']",500.0,4.4,697
99,https://www.zomato.com/chennai/pind-velachery,PIND," 2, Sarathy Nagar, 1st Main Road, Velachery, Chennai","['North Indian', ' Chinese', ' Fast Food']",900.0,4.3,2994
100,https://www.zomato.com/chennai/mainland-china-velachery,MAINLAND CHINA," 142, 1st Floor, Phoenix Market City, Velachery, Chennai","['Chinese', ' Asian', ' Sushi', ' Japanese', ' Thai']",1800.0,4.6,1498
101,https://www.zomato.com/chennai/kumarakom-velachery,KUMARAKOM," 27/28, Vijayanagar Extension, Velachery Main Road, Velachery, Chennai","['North Indian', ' Chinese', ' Kerala']",600.0,4.0,670
102,https://www.zomato.com/chennai/city-square-cafeteria-egmore,CITY SQUARE CAFETERIA," 36, Casa Major Road, Egmore, Chennai","['Fast Food', ' Beverages', ' Sandwich']",200.0,4.1,611
103,https://www.zomato.com/chennai/bhangra-kanathur,BHANGRA," Mayajaal Multiplex, Kanathur, Chennai",['North Indian'],800.0,4.9,2109
