Zomato URL,Name of Restaurant,Address,Cuisine,Price for 2,Dining Rating,Dining Rating Count
https://www.zomato.com/chennai/navrang-royapettah,NAVRANG,"5, 1st Floor, TTK Road, Royapettah, Chennai","['North Indian', ' South Indian', ' Chinese']",550,3.7,143
https://www.zomato.com/chennai/neato-foods-1-ambattur,NEATO FOODS,"442 Ground Floor, Phase XX, SIDCO Industrial Estate, Near Telephone Exchange, Ambattur, Chennai","['South Indian', ' North Indian', ' Street Food', ' Fast Food']",300,3.3,6
https://www.zomato.com/chennai/royal-palate-vadapalani,ROYAL PALATE,"Ambica Empire Hotel, 79, 100 Feet Road, Vadapalani, Chennai","['Continental', ' European', ' South Indian', ' North Indian', ' Chinese', ' Desserts']",1000,3.7,219
https://www.zomato.com/chennai/sgs-snackers-k-k-nagar,SGS SNACKERS,"3/1, Annai Sathya St, MGR Nagar, Nesapakkam, K.K. Nagar, Chennai","['Pizza', ' Burger', ' Sandwich', ' Rolls', ' Fast Food', ' Beverages']",300,3.9,351
https://www.zomato.com/chennai/tandoori-bay-porur,TANDOORI BAY,"Plot 1-2, ANR Complex, Mugalivakkam Main Road, Madanandapuram, Porur, Chennai","['North Indian', ' Chinese', ' Beverages']",450,2.8,7
https://www.zomato.com/chennai/waves-bar-lounge-ramada-egmore,WAVES BAR & LOUNGE - RAMADA,"2A, Ramada, Poniamman Koil Street, Gandhi Irwin Bridge Road, Egmore, Chennai",['Finger Food'],2300,3.8,143
https://www.zomato.com/chennai/ya-rahman-biryani-chengalpattu,YA RAHMAN BIRYANI,"221, Central Avenue Road, Mahindra World City, Veerapuram, Chengalpattu, Chennai","['Biryani', ' North Indian', ' Chinese']",400,3.5,109
https://www.zomato.com/chennai/burma-atho-shop-mogappair,BURMA ATHO SHOP,"3/C6, 1st Avenue, Main Road, Mohan Ram Nagar, Mogappair, Chennai",['Burmese'],250,3.2,8
https://www.zomato.com/chennai/cake-my-day-1-perambur,CAKE MY DAY,"34, Ramamoorthy Colony, Thiru Vi Ka Nagar, Perambur, Chennai","['Bakery', ' Desserts']",400,3.3,16
https://www.zomato.com/chennai/crescent-bakery-perungudi,CRESCENT BAKERY,"105, Thirumalai Nagar Annexe, OMR, Perungudi, Chennai","['Bakery', ' Fast Food']",250,3.9,51
https://www.zomato.com/chennai/cupkew-joos-and-kaappi-1-gst-road,CUPKEW JOOS AND KAAPPI,"256, Guduvanchery, Kattankulathur Block, GST Road, Chennai",['Fast Food'],200,3.0,14
https://www.zomato.com/chennai/dhivis-kitchen-ashok-nagar,DHIVI'S KITCHEN,"New 28, Old 16, 25th Street, Ashok Nagar, Chennai",['South Indian'],300,3.7,18
https://www.zomato.com/chennai/foodoholic-washermenpet,FOODOHOLIC,"24/64, Kumbalamman, Koil Seed, Tondiarpet, Washermenpet, Chennai","['Chinese', ' North Indian']",300,3.4,12
https://www.zomato.com/chennai/home-food-restaurant-tambaram,HOME FOOD RESTAURANT,"1, Chitra Avenue Park, Chitra Avenue Main Road, New Perungalathur, Near Sri Sai Sathya Construction, Tambaram, Chennai",['South Indian'],150,3.2,5
https://www.zomato.com/chennai/hotel-sundara-1-gst-road,HOTEL SUNDARA,"Near EB Substation, Guduvancheri, GST Road, Chennai",['South Indian'],400,3.8,71
https://www.zomato.com/chennai/hotel-vijay-ramapuram,HOTEL VIJAY,"3/17, Thirumalai Nagar, Natarajan Salai, Ramapuram, Chennai","['South Indian', ' North Indian', ' Chinese']",200,3.2,8
